"","All","Female","Male","All","Female","Male","All","Female","Male","All","Female","Male"
"E",-0.00834869828339374,0.104766616814188,-0.588053301717165,-0.125160444310529,-0.184438496804346,-0.098208116379719,-0.147470673243973,-0.0396942046603809,-0.712535325197207,0.0977846950495896,-0.0805536285116488,0.803584911635276
"11-KT",0.0515518472952008,0.228858184792476,-0.26683935888679,-0.241992017650234,-0.412699237873412,0.178829249216482,-0.0684455712762786,0.199709153461878,-0.625602281632913,0.0902354287088141,-0.189483866511054,1.13910938560845
"17a-OHP5",-0.201660456391538,-0.153560413691464,-0.422681097451575,-0.205070690330806,-0.155471624199807,-0.392220326303096,-0.244774694939048,-0.432889320926443,-0.0186777212617073,0.0922018666012665,-0.0808440673322152,0.568468898091623
"S",-0.244758603019383,-0.146566524373278,-0.517385549304977,-0.185359612645554,-0.0946653088129357,-0.423885181584573,-0.478060116534481,-0.343740166356875,-0.775286373191985,0.286267579335215,-0.070462382776477,1.10409985123817
"B",-0.405050919117397,-0.249387623607799,-0.640782093699954,-0.193784815991036,-0.190374298180158,-0.199854114865559,-0.616187901418612,-0.535603058267913,-0.7401987408086,-0.178419095887841,-0.551069198272821,0.748922126898781
"11b-OHA4",0.370254334994772,0.62098612119597,-0.147375428269966,0.0226156708298105,-0.0474708743925986,0.132912771829505,0.203308533686829,0.548771391200853,-0.55237144759577,0.290747251445988,0.102996768179729,0.893446339323996
"11-KDHT",0.145600606090886,0.462129446759681,-0.266699133641883,-0.142007493378047,-0.030303098367637,-0.362720843724121,0.0336780387448001,0.338218875833105,-0.370657708478152,0.227457115871828,-0.0138739246683688,0.670081050811837
"11-KA4",0.355713380074076,0.360129388597673,0.393739522040606,0.265770483929552,0.0713269171261116,0.572197288970427,0.302195990550849,0.320326387533053,0.306841437792676,0.340285555831095,-0.19986274736124,1.53081813381559
"DHEA",-0.329687425955046,0.012561859415133,-0.681165689411811,-0.245190565942114,-0.249204556621834,-0.173018061269168,-0.186768736461587,-0.162205230039361,-0.131780821281662,0.0893405912099739,-0.117544942001583,0.698033188180058
"T/Epi-T",0.213729528556617,-0.231358441327829,-0.419009024757488,-0.0290914506974508,-0.264373726397422,-0.832059585201042,0.108527020018831,-0.201772260004191,-0.456798684469136,0.105456295367728,0.0867471251052489,-0.586669799231197
"17a-OHP4",-0.379492452572342,-0.600344017206234,-0.507461916173028,-0.136249345271807,-0.103917516140708,-0.521689416143376,-0.420640715452488,-0.599296289363454,-0.471927551360262,-0.264220115453079,-0.281558069238721,-0.512619260643456
"AN",-0.283203748471512,-0.28009354889878,-0.307424852922099,-0.367820238729909,-0.287191095856718,-0.511173866750745,-0.52982101930318,-0.402264429254799,-0.696734841098183,0.102956707775989,-0.145630817047774,0.641537448289261
"DHT",-0.588222122235896,-1.3717475571989,-0.454534120830813,-0.475708479323916,-0.664316704945207,-0.676212377264112,-0.603975110846001,-1.41961426196182,-0.143806630852319,-0.416564804212944,-0.53198498681056,-0.7049796174616
"A4",-0.406543939756154,-0.258120808777789,-0.575998874365443,-0.244692903151675,-0.169621565833047,-0.36523378221289,-0.483300575403018,-0.356212798851432,-0.669300090846458,0.157440748328013,0.0413738591451083,0.637916122928378
"DOC",-0.724776645165117,-0.750249523476155,-0.7556783286588,-0.233684429292313,-0.0615206719360373,-0.616846002132466,-0.840931328565532,-0.844663500480313,-0.870418491820972,0.194401788413576,0.0691513484491022,0.521019030617858
"P5",-0.759861372189717,-0.55695938849728,-0.944344512530103,-0.404743295076451,-0.262199708772108,-0.622634403379886,-0.665623605349037,-0.730609051999942,-0.482039935673123,-0.216275669495866,-0.298047110721571,0.0810783260649834
"P4",-0.616862771498688,-0.732806562186278,-0.203856347181012,-0.159694438274923,-0.075941810240218,-0.426120099401077,-0.574341272036326,-0.666823398364411,-0.356677439351008,-0.451301347837472,-0.506793681838093,0.0568201204303462
"A",-0.463260624365042,-0.528433571311663,-0.12024356555597,0.0241831309225248,0.105277105573576,0.0632047339357006,-0.392964493811765,-0.476700437709942,-0.101795897959829,-0.0185078881948962,-0.0632494331315325,0.301892159072066
"E2",-0.303675133050654,-0.474903002295935,0.2607034803417,-0.0831900891888048,-0.170734201646791,0.512142452713786,-0.477892063361137,-0.662755578466515,-0.00100063949587809,-0.15245551290859,-0.273449899757113,0.926954777262487
"E1",-0.303588353292656,-0.422213239791111,0.140607650184686,-0.174251857280874,-0.313103864082581,0.348986484425372,-0.326843185161976,-0.509027345074658,0.186602360651223,0.105606714955471,-0.0200109463501448,0.818564597942247
